id	title	price_pc	link	image_link	category_name1	category_name2	category_name3	category_name4	shipping 
1	서울식품 갈릭파이(24g×50개입) 발효x	16400	http://www.bakerys24.com/a1?view=1	http://www.bakerys24.com/static/image/products/a1/a11.jpg	식품	가공식품	빵	null	2500
2	서울식품 딸기잼파이(대)(100gx10개입)	9000	http://www.bakerys24.com/a1?view=2	http://www.bakerys24.com/static/image/products/a1/a12.jpg	식품	가공식품	빵	null	2500
3	서울식품 미니딸기잼파이(23g×80개입)	22900	http://www.bakerys24.com/a1?view=3	http://www.bakerys24.com/static/image/products/a1/a13.jpg	식품	가공식품	빵	null	2500
4	서울식품 애플파이(대)(70gx12개입)	10900	http://www.bakerys24.com/a1?view=4	http://www.bakerys24.com/static/image/products/a1/a14.jpg	식품	가공식품	빵	null	2500
5	서울식품 미니애플파이(35g×50개입)	17600	http://www.bakerys24.com/a1?view=5	http://www.bakerys24.com/static/image/products/a1/a15.jpg	식품	가공식품	빵	null	2500
6	서울식품 미니고구마파이(23g×80개입)	22900	http://www.bakerys24.com/a1?view=6	http://www.bakerys24.com/static/image/products/a1/a16.jpg	식품	가공식품	빵	null	2500
7	서울식품 턴오버(75g×8개입)	4900	http://www.bakerys24.com/a1?view=7	http://www.bakerys24.com/static/image/products/a1/a17.jpg	식품	가공식품	빵	null	2500
8	서울식품 미니애플턴오버(40g×50개입)	17900	http://www.bakerys24.com/a1?view=8	http://www.bakerys24.com/static/image/products/a1/a18.jpg	식품	가공식품	빵	null	2500
9	서울식품 사각페스츄리시트(대) 1박스 12kg (600g*20개입)	49000	http://www.bakerys24.com/a2?view=9	http://www.bakerys24.com/static/image/products/a2/a29.jpg	식품	가공식품	빵	null	2500
10	서울식품 사각 페스츄리시트(소) 900g (60g*15개)	6400	http://www.bakerys24.com/a2?view=10	http://www.bakerys24.com/static/image/products/a2/a210.jpg	식품	가공식품	빵	null	2500
11	서울식품 사각 페스츄리시트(소) 900g (60g*15개)	7500	http://www.bakerys24.com/a2?view=11	http://www.bakerys24.com/static/image/products/a2/a211.jpg	식품	가공식품	빵	null	2500
12	서울식품 파이피자시트(11인치)(230g×8개입)	25400	http://www.bakerys24.com/a2?view=12	http://www.bakerys24.com/static/image/products/a2/a212.jpg	식품	가공식품	빵	null	2500
13	서울식품 파이피자시트(9인치)(140g×10개입)	27000	http://www.bakerys24.com/a2?view=13	http://www.bakerys24.com/static/image/products/a2/a213.jpg	식품	가공식품	빵	null	2500
14	서울식품 데니쉬시트(75g×12개입)	11500	http://www.bakerys24.com/a2?view=14	http://www.bakerys24.com/static/image/products/a2/a214.jpg	식품	가공식품	빵	null	2500
16	아이스박스 구매	3000	
17	대두 고운앙금 5kg 55M	12700	http://www.bakerys24.com/b3?view=17	http://www.bakerys24.com/static/image/products/b3/b317.jpg	식품	가공식품	제과/제빵재료	2000	null	2500
18	대두 고운앙금 5kg S35M 저당	13200	http://www.bakerys24.com/b3?view=18	http://www.bakerys24.com/static/image/products/b3/b318.jpg	식품	가공식품	제과/제빵재료	null	2500
19	대두 백옥앙금 5kg 52H	12200	http://www.bakerys24.com/b3?view=19	http://www.bakerys24.com/static/image/products/b3/b319.jpg	식품	가공식품	제과/제빵재료	null	2500
20	대두 백옥앙금 5kg S35M 저당	12500	http://www.bakerys24.com/b3?view=20	http://www.bakerys24.com/static/image/products/b3/b320.jpg	식품	가공식품	제과/제빵재료	null	2500
21	대두 춘설앙금 5kg 57H	12500	http://www.bakerys24.com/b3?view=21	http://www.bakerys24.com/static/image/products/b3/b321.jpg	식품	가공식품	제과/제빵재료	null	2500
22	대두 완두앙금 5kg 57M	12200	http://www.bakerys24.com/b3?view=22	http://www.bakerys24.com/static/image/products/b3/b322.jpg	식품	가공식품	제과/제빵재료	null	2500
23	대두 통팥앙금 5kg 57M	12700	http://www.bakerys24.com/b3?view=23	http://www.bakerys24.com/static/image/products/b3/b323.jpg	식품	가공식품	제과/제빵재료	null	2500
24	대두 통팥앙금 5kg 55M	12700	http://www.bakerys24.com/b3?view=24	http://www.bakerys24.com/static/image/products/b3/b324.jpg	식품	가공식품	제과/제빵재료	null	2500
25	대두 통팥앙금 5kg S35M 저당	12580	http://www.bakerys24.com/b3?view=25	http://www.bakerys24.com/static/image/products/b3/b325.jpg	식품	가공식품	제과/제빵재료	null	2500
26	대두 호박앙금 5kg 57M	16500	http://www.bakerys24.com/b3?view=26	http://www.bakerys24.com/static/image/products/b3/b326.jpg	식품	가공식품	제과/제빵재료	null	2500
27	대두 황등앙금 5kg 57M	16500	http://www.bakerys24.com/b3?view=27	http://www.bakerys24.com/static/image/products/b3/b327.jpg	식품	가공식품	제과/제빵재료	null	2500
28	대두 강낭콩배기 2kg	7200	http://www.bakerys24.com/b3?view=28	http://www.bakerys24.com/static/image/products/b3/b328.jpg	식품	가공식품	제과/제빵재료	null	2500
29	대두 팥배기 2kg	7200	http://www.bakerys24.com/b3?view=29	http://www.bakerys24.com/static/image/products/b3/b329.jpg	식품	가공식품	제과/제빵재료	null	2500
30	대두 완두배기 2kg	7200	http://www.bakerys24.com/b3?view=30	http://www.bakerys24.com/static/image/products/b3/b330.jpg	식품	가공식품	제과/제빵재료	null	2500
